"","run","year","fixed.maturity","habitat.struct","num.river.with.fish","total.count","habitat.K","p.filled"
"1",1,1,1,1,1,100,54000,0.00185185185185185
"2",1,2,1,1,4,100,54000,0.00185185185185185
"3",1,3,1,1,0,143,54000,0.00264814814814815
"4",1,4,1,1,4,143,54000,0.00264814814814815
"5",1,5,1,1,0,156,54000,0.00288888888888889
"6",1,6,1,1,5,156,54000,0.00288888888888889
"7",1,7,1,1,0,199,54000,0.00368518518518519
"8",1,8,1,1,5,199,54000,0.00368518518518519
"9",1,9,1,1,0,288,54000,0.00533333333333333
"10",1,10,1,1,4,288,54000,0.00533333333333333
"11",1,11,1,1,0,404,54000,0.00748148148148148
"12",1,12,1,1,5,404,54000,0.00748148148148148
"13",1,13,1,1,0,595,54000,0.0110185185185185
"14",1,14,1,1,5,595,54000,0.0110185185185185
"15",1,15,1,1,0,675,54000,0.0125
"16",1,16,1,1,5,675,54000,0.0125
"17",1,17,1,1,0,727,54000,0.013462962962963
"18",1,18,1,1,5,727,54000,0.013462962962963
"19",1,19,1,1,0,837,54000,0.0155
"20",1,20,1,1,7,837,54000,0.0155
"21",1,21,1,1,0,842,54000,0.0155925925925926
"22",1,22,1,1,6,842,54000,0.0155925925925926
"23",1,23,1,1,0,991,54000,0.0183518518518519
"24",1,24,1,1,7,991,54000,0.0183518518518519
"25",1,25,1,1,0,1135,54000,0.0210185185185185
"26",1,26,1,1,8,1135,54000,0.0210185185185185
"27",1,27,1,1,0,1297,54000,0.0240185185185185
"28",1,28,1,1,8,1297,54000,0.0240185185185185
"29",1,29,1,1,0,1611,54000,0.0298333333333333
"30",1,30,1,1,8,1611,54000,0.0298333333333333
"31",1,31,1,1,0,2303,54000,0.0426481481481482
"32",1,32,1,1,9,2303,54000,0.0426481481481482
"33",1,33,1,1,0,3103,54000,0.057462962962963
"34",1,34,1,1,9,3103,54000,0.057462962962963
"35",1,35,1,1,0,3900,54000,0.0722222222222222
"36",1,36,1,1,10,3900,54000,0.0722222222222222
"37",1,37,1,1,0,5200,54000,0.0962962962962963
"38",1,38,1,1,10,5200,54000,0.0962962962962963
"39",1,39,1,1,0,7106,54000,0.131592592592593
"40",1,40,1,1,11,7106,54000,0.131592592592593
"41",1,41,1,1,0,8038,54000,0.148851851851852
"42",1,42,1,1,11,8038,54000,0.148851851851852
"43",1,43,1,1,0,9411,54000,0.174277777777778
"44",1,44,1,1,11,9411,54000,0.174277777777778
"45",1,45,1,1,0,8981,54000,0.166314814814815
"46",1,46,1,1,12,8981,54000,0.166314814814815
"47",1,47,1,1,0,9862,54000,0.18262962962963
"48",1,48,1,1,11,9862,54000,0.18262962962963
"49",1,49,1,1,0,9473,54000,0.175425925925926
"50",1,50,1,1,12,9473,54000,0.175425925925926
"51",1,51,1,1,0,9677,54000,0.179203703703704
"52",1,52,1,1,13,9677,54000,0.179203703703704
"53",1,53,1,1,0,10387,54000,0.192351851851852
"54",1,54,1,1,13,10387,54000,0.192351851851852
"55",1,55,1,1,0,9976,54000,0.184740740740741
"56",1,56,1,1,13,9976,54000,0.184740740740741
"57",1,57,1,1,0,10188,54000,0.188666666666667
"58",1,58,1,1,13,10188,54000,0.188666666666667
"59",1,59,1,1,0,10723,54000,0.198574074074074
"60",1,60,1,1,13,10723,54000,0.198574074074074
"61",1,61,1,1,0,11263,54000,0.208574074074074
"62",1,62,1,1,15,11263,54000,0.208574074074074
