"","run","year","two_yrs_fit","two_yrs_home_fit","two_yrs_stray_fit","two_yrs_RRS","two_yrs_home_RRS","two_yrs_stray_RRS","three_yrs_fit","three_yrs_home_fit","three_yrs_stray_fit","three_yrs_RRS","three_yrs_home_RRS","three_yrs_stray_RRS","odd_yr_fit","even_yr_fit","odd_yr_RRS","even_yr_RRS"
"1",1,2,1.72,1.93258426966292,0,1,1.12359550561798,0,NA,NA,NA,NA,NA,NA,NA,1.72,NA,1
"2",1,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1,4,1.67857142857143,1.88,0,1,1.12,0,NA,NA,NA,NA,NA,NA,1.67857142857143,NA,1,NA
"4",1,5,NA,NA,NA,1,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA
"5",1,6,1.792,1.98230088495575,0,1,1.10619469026549,0,NA,NA,NA,NA,NA,NA,NA,1.792,NA,1
"6",1,7,NA,NA,NA,1,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,NA
"7",1,8,1.67832167832168,1.81818181818182,0,1,1.08333333333333,0,NA,NA,NA,NA,NA,NA,1.67832167832168,NA,1,NA
"8",1,9,NA,NA,NA,1,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA
"9",1,10,2.04081632653061,2.22222222222222,0,1,1.08888888888889,0,NA,NA,NA,NA,NA,NA,NA,2.04081632653061,NA,1
"10",1,11,NA,NA,NA,1,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,NA
"11",1,12,1.65656565656566,1.89595375722543,0,1,1.14450867052023,0,NA,NA,NA,NA,NA,NA,1.65656565656566,NA,1,NA
"12",1,13,NA,NA,NA,1,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA
"13",1,14,1.9646017699115,2.15533980582524,0,1,1.09708737864078,0,NA,NA,NA,NA,NA,NA,NA,1.9646017699115,NA,1
"14",1,15,NA,NA,NA,1,NA,NA,2.19047619047619,2.19047619047619,NA,NA,NA,NA,NA,2.19047619047619,NA,NA
"15",1,16,1.921875,2.15789473684211,0,1,1.12280701754386,0,NA,NA,NA,NA,NA,NA,1.921875,NA,1,NA
