"","year","two_yrs_fit","two_yrs_home_fit","two_yrs_stray_fit","two_yrs_RRS","two_yrs_home_RRS","two_yrs_stray_RRS"
"1",2,1.96,2.10752688172043,0,1,1.0752688172043,0
"2",4,1.48837209302326,1.71428571428571,0,1,1.15178571428571,0
"3",6,1.72972972972973,1.96923076923077,0,1,1.13846153846154,0
"4",8,1.79141104294479,1.92105263157895,0,1,1.07236842105263,0
"5",10,1.73333333333333,1.9622641509434,0,1,1.13207547169811,0
"6",12,1.96190476190476,2.19148936170213,0,1,1.11702127659574,0
"7",14,1.9622641509434,2.16666666666667,0,1,1.10416666666667,0
"8",16,2.22368421052632,2.41428571428571,0,1,1.08571428571429,0
"9",18,2.29928741092637,2.56763925729443,0,1,1.11671087533156,0
"10",20,2.19689119170984,2.33526011560694,1,1,1.06298396771731,0.455188679245283
"11",22,2.32098765432099,2.44940476190476,0.807017543859649,1,1.05532864741641,0.347704367301232
"12",24,2.46516192345437,2.58008658008658,1.34736842105263,1,1.04661951636474,0.546563861884009
"13",26,2.53221288515406,2.60393700787402,1.95569620253165,1,1.02832468120688,0.772326929539599
"14",28,2.57482656095144,2.61939058171745,2.19718309859155,1,1.01730758158311,0.853332465927203
"15",30,2.01612903225806,2.01762940735184,2.00322580645161,1,1.00074418604651,0.9936
"16",32,1.7191613846904,1.71922246220302,1.71859296482412,1,1.0000355275038,0.999669362125431
"17",34,1.6421391234419,1.62061256427454,1.83433133732535,1,0.986891147735253,1.11703771692658
"18",36,1.63409050889241,1.64121687929342,1.57191780821918,1,1.0043610622314,0.96195271905999
"19",38,1.68776110165558,1.69199178644764,1.64781906300485,1,1.00250668461781,0.976334305482245
"20",40,1.5284019187074,1.54127801754142,1.40324763193505,1,1.00842455029428,0.918114283134245
"21",42,1.51806147632937,1.53349937733499,1.37782805429864,1,1.01016948341444,0.907623357672044
"22",44,1.5371322773092,1.54502963976288,1.46421052631579,1,1.00513772469049,0.952559872647357
"23",46,1.46871487448483,1.46888703278346,1.4672131147541,1,1.00011721696405,0.9989775008364
"24",48,1.30891057430811,1.31256684491979,1.27691107644306,1,1.00279336929768,0.975552571357315
"25",50,1.40226474033581,1.40900791235545,1.34279141104294,1,1.00480877242768,0.957587659746319
"26",52,1.50317316409791,1.51503727904834,1.3941493456505,1,1.00789271338379,0.927470885556394
"27",54,1.45887359531884,1.47050572166851,1.35341365461847,1,1.00797336135701,0.927711392516282
"28",56,1.37781763826607,1.39088077407383,1.25733496332518,1,1.00948103395178,0.912555427079226
"29",58,1.30116214720531,1.30853297110398,1.23745997865528,1,1.0056648004359,0.951042098260504
"30",60,1.18699351701783,1.19803701626472,1.08411703239289,1,1.00930375700336,0.913330205135915
"31",62,1.33625458728159,1.34028240712684,1.29840546697039,1,1.00301426081795,0.971675217678241
"32",64,1.2422695887121,1.24750265081757,1.19690372520561,1,1.0042125011777,0.963481466568365
"33",66,1.24688522988225,1.25569881943311,1.16922339405561,1,1.00706848500539,0.93771532939405
"34",68,1.18058106135518,1.19559069962296,1.04670714619337,1,1.01271377185277,0.886603368846065
"35",70,1.24764150943396,1.26305177111717,1.10639360639361,1,1.01235151409013,0.886788070152909
"36",72,1.34748443718747,1.36478704601175,1.20009713453133,1,1.01284067433119,0.890620404519272
"37",74,1.2538770821367,1.26692930153322,1.13757115749526,1,1.01040948876287,0.907242961612112
"38",76,1.15450475900734,1.16248673676088,1.08175824175824,1,1.00691376773569,0.936988984513454
"39",78,1.20301697045883,1.20849382222,1.15505913272011,1,1.00455259725811,0.960135360583954
"40",80,1.25921505623135,1.27125051082959,1.15255771842463,1,1.00955790239219,0.915298552634897
"41",82,1.35081219720718,1.36116556291391,1.26112895823772,1,1.00766454857909,0.93360791444223
"42",84,1.22825009695351,1.24288315920636,1.09782144382742,1,1.01191374809508,0.89380936875186
"43",86,1.26541508030283,1.27602362012591,1.17330508474576,1,1.00838344665573,0.927209658719236
"44",88,1.2798951048951,1.29157175398633,1.17267467734757,1,1.00912312973662,0.916227175854135
"45",90,1.28049728049728,1.28376893305939,1.24988824318283,1,1.00255498595111,0.976095976320575
